n_heliostats,receiver_area,max_heat_flux,avg_heat_flux,heat_stored,residence_time,particle_velocity,heliostat_efficiency,bdr_efficiency,solar_field_efficiency,receiver_efficiency,thermal_efficiency,mass_flow_rate,temp_parts_avg,temp_parts_max,temp_parts_min,temp_parts_std,iterations,solve_time_res,simulation_status,case_name,focal_height,receiver_power,thickness,simulation_time,success
6790,18.25682071006684,3.5939590670155024,1.0,25.080256751890534,21.176805736681104,0.10840687144212616,0.6860399617515504,0.7899233124879839,0.542294702666058,0.8408867970345991,0.45600845557369174,78.424015879382,1199.525232903133,1330.3471191949204,950.0,87.80731163960274,13,True,converged,zf40_Q1.00_P25.0_tz0.050,40,25,0.05,120.2981059551239,True
6778,18.25682071006684,3.5936302397869273,1.0,25.00128231038343,29.79009034361958,0.07706291691535477,0.6864178522172906,0.7899652564970037,0.5425944247960309,0.839259149152371,0.45537733528913704,78.02318379320594,1200.0,1324.785741882911,950.0,87.52655186872175,9,True,converged,zf40_Q1.00_P25.0_tz0.070,40,25,0.07,99.25812554359436,True
8907,18.25682071006684,3.9970564756662776,1.0,30.062888716664062,10.604139492765873,0.21649198962512695,0.6693418806714775,0.7306400892262056,0.49074840501125777,0.849084771830293,0.416686997495064,93.95253031912307,1199.6547401045596,1324.5477004313543,950.0,84.40550904029053,14,True,converged,zf40_Q1.00_P30.0_tz0.030,40,30,0.03,114.02636814117432,True
8865,18.25682071006684,3.9463376907764594,1.0,30.002290167140572,17.737412812143994,0.12942762743163422,0.6696076067417007,0.7318950915045122,0.49174877870213696,0.8496558832067962,0.41781724288402755,93.62909553252517,1200.0000000000002,1321.777149647789,950.0,84.66029199039946,10,True,converged,zf40_Q1.00_P30.0_tz0.050,40,30,0.05,96.69230222702026,True
8888,18.25682071006684,3.9100641744902176,1.0,30.00159301112868,24.83212777797684,0.09244923663316892,0.6693937502433386,0.7312154457942397,0.49118535232529764,0.8484095608289635,0.41672634905192546,93.62689978051877,1200.0000000000002,1323.8061174065629,950.0,84.60605825056939,14,True,converged,zf40_Q1.00_P30.0_tz0.070,40,30,0.07,115.88276529312134,True
2394,18.25682071006684,2.35843404802615,1.25,10.00150240261995,31.857636935557586,0.07206156758252627,0.7553220218093564,0.8868170733427096,0.6696477795036336,0.7702032666748219,0.5157649072952395,31.21686889811538,1199.9999999999995,1371.8429899605053,950.0,117.73151104627786,7,True,converged,zf40_Q1.25_P10.0_tz0.030,40,10,0.03,83.33658576011658,True
2399,18.25682071006684,2.2703612894775143,1.25,10.001352390730665,52.93232542640045,0.04337068584382016,0.7554087769538729,0.8864930358472668,0.6694833678824367,0.7687752288739867,0.5146822293711477,31.299094778056592,1199.3610771223439,1364.9298721542614,950.0,116.70652704005617,7,False,standard,zf40_Q1.25_P10.0_tz0.050,40,10,0.05,91.72560930252075,True
2400,18.25682071006684,2.307078694523545,1.25,10.00052274012088,74.19355167749245,0.030942193831484967,0.755321330169182,0.8864726685278758,0.6693826672616079,0.7685067548398209,0.5144251013632419,31.20145014163439,1200.0947970473758,1368.5936314788541,950.0,117.10591066806236,5,False,standard,zf40_Q1.25_P10.0_tz0.070,40,10,0.07,81.70286917686462,True
3636,18.25682071006684,2.7958769542259927,1.25,15.00396921202475,21.254769228851664,0.10800922994426221,0.7292578344735713,0.864230810623864,0.6298381871673654,0.8088425564340663,0.5094399294482498,46.82685554172332,1200.0,1347.1609821775533,950.0,101.8991464672261,12,True,converged,zf40_Q1.25_P15.0_tz0.030,40,15,0.03,100.12548184394836,True
3653,18.25682071006684,2.898129773369167,1.25,15.00650191393606,35.42393572293328,0.0648067813527856,0.7286038185872651,0.8640909096171179,0.629197679801326,0.8060340251588025,0.5071547384708421,46.83468012358885,1200.0000000000002,1349.5368702057847,950.0,101.55284042784139,13,True,converged,zf40_Q1.25_P15.0_tz0.050,40,15,0.05,110.6675922870636,True
